project_id,project_name,description,department,cost,start_date,end_date
DARPA-P-1011,OFFSET Swarm Robotics Program,"Major DARPA AI/Robotics program focused on offset swarm robotics program, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA DSO (Defense Sciences Office),404971233,2018-01-21,2019-12-09
DARPA-P-1012,RACER Autonomous Ground Vehicles,"Major DARPA AI/Robotics program focused on racer autonomous ground vehicles, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA MTO (Microsystems Technology Office),59762521,2023-02-03,2026-10-30
DARPA-P-1013,ALPHA Dogfight AI,"Major DARPA AI/Robotics program focused on alpha dogfight ai, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA I2O (Information Innovation Office),485304243,2010-02-16,2014-03-11
DARPA-P-1014,XAI — Explainable AI Program,"Major DARPA AI/Robotics program focused on xai — explainable ai program, involving multi-year research, prototyping, field testing, and advanced autonomy development.",DARPA I2O (Information Innovation Office),307030951,2019-07-05,2022-11-07
DARPA-S-2000,High-speed UAV Path Planning AI,Engineering-level DARPA R&D project developing high-speed uav path planning ai to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),43198618,2022-10-15,2024-01-04
DARPA-S-2001,Human-Robot Teaming AI Agent,Engineering-level DARPA R&D project developing human-robot teaming ai agent to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),58160782,2023-05-10,2025-08-20
DARPA-S-2002,Ground Robot Obstacle Negotiation Model,Engineering-level DARPA R&D project developing ground robot obstacle negotiation model to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),78900864,2017-02-19,2018-05-03
DARPA-S-2003,Adaptive Target Recognition AI Module,Engineering-level DARPA R&D project developing adaptive target recognition ai module to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),72943030,2015-10-10,2018-09-02
DARPA-S-2004,Micro-drone Swarm Coordination Experiment,Engineering-level DARPA R&D project developing micro-drone swarm coordination experiment to support future autonomous and robotics mission capabilities.,DARPA TTO (Tactical Technology Office),65440152,2010-06-16,2014-06-14
DARPA-S-2005,Secure Multi-Agent Robotics Network,Engineering-level DARPA R&D project developing secure multi-agent robotics network to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),67505569,2012-01-31,2015-11-17
DARPA-S-2006,Adaptive Target Recognition AI Module,Engineering-level DARPA R&D project developing adaptive target recognition ai module to support future autonomous and robotics mission capabilities.,DARPA BTO (Biological Technologies Office),42800595,2013-07-22,2016-05-19
DARPA-S-2007,Adaptive Target Recognition AI Module,Engineering-level DARPA R&D project developing adaptive target recognition ai module to support future autonomous and robotics mission capabilities.,DARPA TTO (Tactical Technology Office),13924024,2021-11-09,2025-08-08
DARPA-S-2008,Urban Navigation Autonomy Prototype,Engineering-level DARPA R&D project developing urban navigation autonomy prototype to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),58671314,2013-11-07,2015-09-18
DARPA-S-2009,AI-based Sensor Fusion Prototype,Engineering-level DARPA R&D project developing ai-based sensor fusion prototype to support future autonomous and robotics mission capabilities.,DARPA MTO (Microsystems Technology Office),10197061,2012-08-14,2016-02-17
DARPA-S-2010,Urban Navigation Autonomy Prototype,Engineering-level DARPA R&D project developing urban navigation autonomy prototype to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),21744907,2020-08-30,2022-10-02
DARPA-S-2011,Robotic Manipulation Learning Module,Engineering-level DARPA R&D project developing robotic manipulation learning module to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),46507009,2019-05-09,2022-06-07
DARPA-S-2012,Ground Robot Obstacle Negotiation Model,Engineering-level DARPA R&D project developing ground robot obstacle negotiation model to support future autonomous and robotics mission capabilities.,DARPA MTO (Microsystems Technology Office),35588909,2017-06-24,2020-06-21
DARPA-S-2013,Robotic Manipulation Learning Module,Engineering-level DARPA R&D project developing robotic manipulation learning module to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),7851621,2022-11-11,2026-01-04
DARPA-S-2014,Adaptive Target Recognition AI Module,Engineering-level DARPA R&D project developing adaptive target recognition ai module to support future autonomous and robotics mission capabilities.,DARPA MTO (Microsystems Technology Office),57784734,2018-11-12,2021-07-29
DARPA-S-2015,Human-Robot Teaming AI Agent,Engineering-level DARPA R&D project developing human-robot teaming ai agent to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),55605524,2012-05-07,2015-08-01
DARPA-S-2016,Autonomous Mapping and Localization Unit,Engineering-level DARPA R&D project developing autonomous mapping and localization unit to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),71457370,2021-12-16,2023-08-17
DARPA-S-2017,Micro-drone Swarm Coordination Experiment,Engineering-level DARPA R&D project developing micro-drone swarm coordination experiment to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),3893264,2012-07-17,2015-01-24
DARPA-S-2018,AI-based Sensor Fusion Prototype,Engineering-level DARPA R&D project developing ai-based sensor fusion prototype to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),53853794,2017-01-25,2019-12-11
DARPA-S-2019,AI-based Sensor Fusion Prototype,Engineering-level DARPA R&D project developing ai-based sensor fusion prototype to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),30172007,2023-09-14,2027-10-11
DARPA-S-2020,Autonomous Mapping and Localization Unit,Engineering-level DARPA R&D project developing autonomous mapping and localization unit to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),72001306,2016-02-23,2017-07-03
DARPA-S-2021,Autonomous Mapping and Localization Unit,Engineering-level DARPA R&D project developing autonomous mapping and localization unit to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),58787124,2018-04-25,2020-06-09
DARPA-S-2022,Secure Multi-Agent Robotics Network,Engineering-level DARPA R&D project developing secure multi-agent robotics network to support future autonomous and robotics mission capabilities.,DARPA MTO (Microsystems Technology Office),36562529,2019-11-10,2021-05-25
DARPA-S-2023,Urban Navigation Autonomy Prototype,Engineering-level DARPA R&D project developing urban navigation autonomy prototype to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),68336951,2024-01-16,2025-01-21
DARPA-S-2024,Urban Navigation Autonomy Prototype,Engineering-level DARPA R&D project developing urban navigation autonomy prototype to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),25732220,2012-01-21,2014-02-06
DARPA-S-2025,Micro-drone Swarm Coordination Experiment,Engineering-level DARPA R&D project developing micro-drone swarm coordination experiment to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),20400937,2017-09-01,2019-07-21
DARPA-S-2026,Adaptive Target Recognition AI Module,Engineering-level DARPA R&D project developing adaptive target recognition ai module to support future autonomous and robotics mission capabilities.,DARPA BTO (Biological Technologies Office),60525642,2022-05-15,2025-06-05
DARPA-S-2027,AI-based Sensor Fusion Prototype,Engineering-level DARPA R&D project developing ai-based sensor fusion prototype to support future autonomous and robotics mission capabilities.,DARPA BTO (Biological Technologies Office),12180345,2018-09-29,2020-02-13
DARPA-S-2028,High-speed UAV Path Planning AI,Engineering-level DARPA R&D project developing high-speed uav path planning ai to support future autonomous and robotics mission capabilities.,DARPA TTO (Tactical Technology Office),9555346,2015-04-25,2017-01-20
DARPA-S-2029,Robotic Manipulation Learning Module,Engineering-level DARPA R&D project developing robotic manipulation learning module to support future autonomous and robotics mission capabilities.,DARPA DSO (Defense Sciences Office),65219436,2020-02-07,2023-04-21
DARPA-S-2030,Autonomous Mapping and Localization Unit,Engineering-level DARPA R&D project developing autonomous mapping and localization unit to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),18796550,2019-07-05,2020-12-27
DARPA-S-2031,Robotic Manipulation Learning Module,Engineering-level DARPA R&D project developing robotic manipulation learning module to support future autonomous and robotics mission capabilities.,DARPA TTO (Tactical Technology Office),20315743,2019-04-07,2023-05-07
DARPA-S-2032,Secure Multi-Agent Robotics Network,Engineering-level DARPA R&D project developing secure multi-agent robotics network to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),71789380,2018-12-27,2021-07-24
DARPA-S-2033,Human-Robot Teaming AI Agent,Engineering-level DARPA R&D project developing human-robot teaming ai agent to support future autonomous and robotics mission capabilities.,DARPA I2O (Information Innovation Office),70390327,2014-06-18,2016-04-10
DARPA-S-2034,Human-Robot Teaming AI Agent,Engineering-level DARPA R&D project developing human-robot teaming ai agent to support future autonomous and robotics mission capabilities.,DARPA STO (Strategic Technology Office),32853636,2013-05-08,2015-11-14
