project_id,project_name,description,department,cost,start_date,end_date
N-1023,Advanced Ion Propulsion Prototype,"R&D engineering project focused on advanced ion propulsion prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,28957259,2014-04-03,2016-10-02
N-1024,Extravehicular Robotics Experiment,"R&D engineering project focused on extravehicular robotics experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,96478292,2011-05-17,2014-04-14
N-1025,Extravehicular Robotics Experiment,"R&D engineering project focused on extravehicular robotics experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,129835316,2019-08-28,2022-04-25
N-1026,Reusable Heat Shield R&D,"R&D engineering project focused on reusable heat shield r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Marshall,74697103,2022-12-16,2026-03-11
N-1027,Reusable Heat Shield R&D,"R&D engineering project focused on reusable heat shield r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,36711544,2016-06-17,2018-08-09
N-1028,Planetary Drill Prototype,"R&D engineering project focused on planetary drill prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,23034574,2018-10-18,2021-02-23
N-1029,Thermal Protection Material Experiment,"R&D engineering project focused on thermal protection material experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,70629300,2013-04-26,2014-07-18
N-1030,Solar Sail Material Development,"R&D engineering project focused on solar sail material development to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,14312301,2021-03-04,2021-11-26
N-1031,Lunar Dust Mitigation System,"R&D engineering project focused on lunar dust mitigation system to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Glenn,16553928,2023-11-21,2025-06-23
N-1032,Solar Sail Material Development,"R&D engineering project focused on solar sail material development to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,129829978,2023-01-28,2024-10-03
N-1033,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,72646867,2019-11-15,2022-02-05
N-1034,Reusable Heat Shield R&D,"R&D engineering project focused on reusable heat shield r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Marshall,128146866,2016-06-06,2018-10-13
N-1035,In-Space Manufacturing Additive Experiment,"R&D engineering project focused on in-space manufacturing additive experiment to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,108277647,2021-12-12,2022-12-04
N-1036,High-Altitude Aerogel Sensor Test,"R&D engineering project focused on high-altitude aerogel sensor test to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Glenn,41402872,2010-07-13,2013-05-19
N-1037,Hypersonic Vehicle Aerodynamics Study,"R&D engineering project focused on hypersonic vehicle aerodynamics study to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,110759133,2014-03-16,2016-01-14
N-1038,Hypersonic Vehicle Aerodynamics Study,"R&D engineering project focused on hypersonic vehicle aerodynamics study to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Armstrong,26005801,2018-10-21,2020-05-16
N-1039,Cryogenic Fuel Line Testing,"R&D engineering project focused on cryogenic fuel line testing to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,82506567,2013-04-30,2014-04-22
N-1040,High-Altitude Aerogel Sensor Test,"R&D engineering project focused on high-altitude aerogel sensor test to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,108923153,2024-08-03,2026-09-30
N-1041,Reusable Heat Shield R&D,"R&D engineering project focused on reusable heat shield r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,100081083,2011-12-13,2012-11-29
N-1042,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,25407899,2015-10-24,2017-12-16
N-1043,Deep Space Communication Antenna R&D,"R&D engineering project focused on deep space communication antenna r&d to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA JPL,90337456,2017-12-06,2020-09-24
N-1044,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,14293743,2013-11-13,2015-01-24
N-1045,Solar Sail Material Development,"R&D engineering project focused on solar sail material development to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Goddard,133952024,2013-08-30,2014-06-08
N-1046,Hypersonic Vehicle Aerodynamics Study,"R&D engineering project focused on hypersonic vehicle aerodynamics study to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Glenn,146854522,2021-01-14,2023-08-10
N-1047,Planetary Drill Prototype,"R&D engineering project focused on planetary drill prototype to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Langley,127526632,2022-06-15,2024-02-27
N-1048,SmallSat Propulsion Unit,"R&D engineering project focused on smallsat propulsion unit to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Glenn,91800336,2020-08-31,2023-01-18
N-1049,Hypersonic Vehicle Aerodynamics Study,"R&D engineering project focused on hypersonic vehicle aerodynamics study to support future NASA missions. Includes prototyping, testing, modeling, and iterative experimentation.",NASA Ames,108428460,2012-12-15,2014-09-29
